ОГОНЬ	s	139.8
ГРУДЬ	s	138.8
СТРАХ	s	138.4
СУММА	s	130.6
СФЕРА	s	129.5
МУЖИК	s	124.7
НЕМЕЦ	s	124.1
ВЫБОР	s	122.0
МАССА	s	121.7
ШЕСТЬ	num	120.9
СЛАВА	s	120.2
КУХНЯ	s	120.1
ОТДЕЛ	s	116.2
ТОВАР	s	115.5
АКТЕР	s	114.4
СЛЕЗА	s	114.2
ВЫВОД	s	111.8
НОРМА	s	111.3
РАМКА	s	110.6
ПРИЕМ	s	109.8
РЕЖИМ	s	106.7
ЦЕЛОЕ	s	106.6
ВИРУС	s	106.5
ПОИСК	s	105.0
НАЛОГ	s	104.7
ДОХОД	s	103.6
КАРТА	s	103.0
СОРОК	num	99.5
АКЦИЯ	s	98.5
СОСЕД	s	97.8
ФРАЗА	s	97.8
ТОЛПА	s	96.7
СХЕМА	s	95.9
ВОЛНА	s	95.4
ПТИЦА	s	94.5
ЗАПАХ	s	94.1
ВОДКА	s	93.9
ПОЕЗД	s	93.3
АДРЕС	s	92.7
ЛИДЕР	s	92.2
СТИЛЬ	s	91.4
ВЕСНА	s	91.3
ЭПОХА	s	89.0
ЗАПАД	s	88.9
ТАЙНА	s	88.9
ТРАВА	s	88.7
ФРОНТ	s	87.7
МУЗЕЙ	s	87.0
КНЯЗЬ	s	86.0
СУТКИ	s	85.4
СУДЬЯ	s	85.2
КРЫША	s	85.0
НЕЧТО	spro	84.9
ПОТОК	s	84.8
ЧЕСТЬ	s	84.4
ЕВРЕЙ	s	84.1
СОТНЯ	s	84.0
ДОЖДЬ	s	83.2
ТРУБА	s	82.1
ОСЕНЬ	s	81.8
ПЬЕСА	s	81.1
ЧЕРТА	s	80.0
КУСОК	s	76.8
БИЛЕТ	s	75.4
МАСЛО	s	73.0
ЭКРАН	s	71.9
КАНАЛ	s	71.5
ВАГОН	s	70.9
ДУРАК	s	69.8
СЕЗОН	s	69.2
ЗАПАС	s	67.8
ДЛИНА	s	67.7
КРЫЛО	s	67.6
ОКРУГ	s	67.6
ДОСКА	s	67.1
ПОЛЕТ	s	66.5
ПАКЕТ	s	65.8
ЖИВОТ	s	65.6
СМЕНА	s	65.1
ПОРОГ	s	64.2
БУКВА	s	63.5
ЛОДКА	s	62.9
СЕРИЯ	s	62.8
ШУТКА	s	62.7
КУЛАК	s	62.5
НЕФТЬ	s	62.3
ЦИФРА	s	62.2
САПОГ	s	62.0
ЖИЛЬЕ	s	61.1
МЕШОК	s	61.1
ОТКАЗ	s	60.9
ЗАМОК	s	60.8
ДИВАН	s	60.1
ДОБРО	s	59.0
ПОКОЙ	s	59.0
КОСТЬ	s	58.5
СПОРТ	s	58.5
МАЙОР	s	58.0
ОТДЫХ	s	57.6
РУЧКА	s	57.6
МЕЧТА	s	57.0
СЮЖЕТ	s	56.6
РУБЕЖ	s	56.5
КРЕСТ	s	56.4
ВЗРЫВ	s	56.3
ПОЧВА	s	56.2
ЗАКАЗ	s	56.0
ШТУКА	s	55.9
СУМКА	s	55.5
ХВОСТ	s	55.4
ПЕСОК	s	55.3
ОЗЕРО	s	54.9
СТРОЙ	s	54.8
ДОЧКА	s	54.1
ТАНЕЦ	s	54.1
НАБОР	s	53.5
ГОРЛО	s	53.2
ПЛАТА	s	53.0
СЪЕЗД	s	51.7
КОШКА	s	50.4
ПЯТНО	s	50.1
ТКАНЬ	s	49.9
ВИЗИТ	s	49.8
ОКЕАН	s	49.8
ПАУЗА	s	49.6
СТВОЛ	s	49.5
ТЕПЛО	s	49.4
РАДИО	s	49.3
ЗВЕРЬ	s	49.1
НАЦИЯ	s	49.1
БАНКА	s	49.0
МЕТРО	s	48.9
ОТЧЕТ	s	48.6
ОБМЕН	s	48.5
ТОСКА	s	48.5
ЗАБОР	s	48.3
МОРОЗ	s	48.2
МАРКА	s	48.0
ГРЯЗЬ	s	47.5
СПРОС	s	47.5
МОТОР	s	47.3
СЕВЕР	s	47.0
СКЛАД	s	46.7
МОТИВ	s	46.6
АРЕСТ	s	46.5
ОТРЯД	s	46.2
НУЖДА	s	45.8
СОБОР	s	45.8
САЛОН	s	44.9
КАПЛЯ	s	44.7
ПОЖАР	s	43.8
ХОЛОД	s	43.7
ТЕТКА	s	43.6
ОБИДА	s	43.4
ВКЛАД	s	43.0
ГОНКА	s	42.9
РУКАВ	s	42.9
ТУМАН	s	42.9
ШОФЕР	s	42.9
АТАКА	s	0
ИГРОК	s	42.5
ТОННА	s	42.4
ВОЖДЬ	s	42.2
ОРДЕН	s	42.2
ЮНОША	s	42.1
БАБКА	s	42.0
ВЫЗОВ	s	42.0
ПОЛКА	s	41.9
БРОВЬ	s	41.6
УДАЧА	s	41.3
БЫТИЕ	s	40.9
ШАПКА	s	40.6
ЛОЖКА	s	40.5
БЕЛОК	s	40.3
